date,tempmin,tempmax,tempavg,humidity
2023-05-01,47.48,51.98,49.46,94.0
2023-05-02,45.68,59.54,51.26,80.4
2023-05-03,40.46,65.84,53.6,72.7
2023-05-04,44.78,72.86,58.64,67.1
2023-05-05,51.08,70.7,60.8,69.7
2023-05-06,53.24,70.34,60.26,84.2
2023-05-07,49.46,65.48,55.4,90.3
2023-05-08,51.98,66.2,57.02,87.5
2023-05-09,51.08,65.84,57.38,88.2
2023-05-10,48.38,55.94,52.34,87.4
2023-05-11,46.4,55.58,49.64,89.2
2023-05-12,47.48,58.28,51.8,86.3
2023-05-13,48.2,60.26,51.98,87.9
2023-05-14,47.84,54.68,50.36,94.5
2023-05-15,47.48,59.54,51.8,87.2
2023-05-16,46.94,51.98,49.28,95.6
2023-05-17,44.24,48.74,46.4,85.5
2023-05-18,44.24,54.5,48.56,82.3
2023-05-19,45.14,58.46,52.52,80.8
2023-05-20,50.18,59.18,54.68,81.1
2023-05-21,48.92,73.4,60.08,71.8
2023-05-22,50.18,76.28,63.68,67.3
2023-05-23,53.24,72.5,62.24,78.2
2023-05-24,51.98,59.18,56.12,91.0
2023-05-25,49.64,64.76,56.66,81.2
2023-05-26,49.64,74.48,62.42,75.0
2023-05-27,52.34,75.92,64.22,71.7
2023-05-28,53.6,74.84,63.68,68.7
2023-05-29,51.8,76.46,64.22,60.9
2023-05-30,52.88,75.2,64.22,59.7
2023-05-31,52.7,74.84,63.68,63.1
2023-06-01,55.04,78.98,63.86,67.6
2023-06-02,52.88,78.8,65.3,65.0
2023-06-03,54.68,75.02,62.42,74.5
2023-06-04,50.9,75.38,60.98,73.6
2023-06-05,51.08,75.38,63.14,67.1
2023-06-06,51.98,77.36,64.58,59.9
2023-06-07,53.78,77.36,64.76,61.0
2023-06-08,53.24,72.5,62.78,67.9
2023-06-09,54.14,79.52,64.58,68.9
2023-06-10,59.18,74.84,64.94,80.9
2023-06-11,55.94,78.8,67.46,69.5
2023-06-12,57.38,78.8,67.82,65.0
2023-06-13,58.28,75.2,66.02,67.9
2023-06-14,53.78,77.18,64.4,59.3
2023-06-15,43.16,75.74,61.34,58.5
2023-06-16,52.7,77.36,64.58,63.6
2023-06-17,52.16,80.96,67.82,53.2
2023-06-18,52.16,84.56,68.18,56.4
2023-06-19,57.92,81.14,69.08,68.4
2023-06-20,61.34,82.76,70.52,80.6
2023-06-21,59.9,81.68,70.7,76.4
2023-06-22,60.98,77.0,68.9,72.0
2023-06-23,59.54,75.92,66.38,70.5
2023-06-24,54.68,79.34,67.46,59.9
2023-06-25,57.56,84.38,71.24,60.9
2023-06-26,61.7,84.02,74.12,57.0
2023-06-27,64.4,73.94,69.8,53.8
2023-06-28,54.68,77.9,65.84,55.8
2023-06-29,58.1,79.34,66.02,73.8
2023-06-30,57.74,67.1,62.06,89.0
2023-07-01,56.84,69.44,62.6,79.8
2023-07-02,59.0,71.96,65.48,77.5
